ID,Learner_Proficiency,Topic,Original_Sentence,Error_Type,Corrected_Sentence,Grammar_Rule,POS_Tagged,Tokenized,Error_Position
1,Advanced,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
2,Advanced,Health,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
3,Advanced,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
4,Beginner,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
5,Beginner,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,4
6,Intermediate,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
7,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
8,Beginner,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
9,Beginner,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
10,Advanced,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
11,Advanced,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
12,Beginner,Health,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
13,Advanced,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
14,Beginner,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
15,Intermediate,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
16,Advanced,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
17,Beginner,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
18,Intermediate,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
19,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
20,Beginner,Travel,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
21,Beginner,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
22,Advanced,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
23,Beginner,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
24,Advanced,Sports,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
25,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
26,Advanced,Sports,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
27,Beginner,Sports,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
28,Advanced,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
29,Beginner,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
